Role,Company,Category,Years' Experience,City,Country,Gender,Currency,Salary,Mode,Period,Non-cash Compensation,Verified Salary Slip
Tester,Purchase to unlock 👆,Other / Unknown,18,Jakarta,ID,Prefer not to tell,IDR,16000000,Net,Monthly,,
Data Analyst,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,10000000,Net,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Edtech,4,Jakarta,ID,Male,IDR,26500000,Net,Monthly,,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,5000000,Net,Monthly,,
Tester,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Male,IDR,45000000,Net,Monthly,,
tester,Purchase to unlock 👆,Other / Unknown,3,Surabaya,ID,Female,IDR,7000000,Gross,Monthly,,
Software Engineer,Traveloka,Other / Unknown,1,Jakarta,ID,Male,IDR,12000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,E-Commerce,5,Jakarta,ID,Male,IDR,27000000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,58000000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Edtech,6,Jakarta,ID,Prefer not to tell,IDR,33000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,10,Jakarta,ID,Prefer not to tell,IDR,14800000,Gross,Monthly,,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,4,Jakarta,FR,Male,IDR,44000000,Gross,Monthly,"Stock Options, Yearly budget for remote setup, book reimbursement, healthcare reimbursement",
Android Developer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,7400000,Gross,Monthly,,
UX Writer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Female,IDR,15000000,Gross,Monthly,Health Insurance,
UX Writer,Purchase to unlock 👆,Bank,2,Jakarta,ID,Male,IDR,11630000,Net,Monthly,,
UI Designer,Purchase to unlock 👆,Other / Unknown,1,Banten,ID,Prefer not to tell,IDR,10000000,Gross,Monthly,"Health Insurance, Mangan 3x sehari, Mess, transportation,",
UI Designer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,14500000,Gross,Monthly,"Remote, insurance, laptop",
UI Designer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,30000000,Net,Monthly,,
UI Designer,Purchase to unlock 👆,Bank,1,Jakarta,ID,Male,IDR,13675000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,26000000,Net,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,12800000,Gross,Monthly,20% per month if hit KPI,
Android Developer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,15000000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,1,Depok,ID,Male,IDR,10000000,Net,Monthly,,
Tester,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,9000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,8000000,Net,Monthly,,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,8,Jakarta,ID,Male,IDR,30000000,Net,Monthly,,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,8000000,Gross,Monthly,,
IT Support,Purchase to unlock 👆,Bank,6,Jakarta,ID,Female,IDR,18000000,Net,Monthly,,
Backend Engineer,Traveloka,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,19000000,Net,Monthly,,
IT Support,Purchase to unlock 👆,Other / Unknown,2,Bandung,ID,Male,IDR,8000000,Gross,Monthly,,
Software Engineer,Tokopedia,Other / Unknown,3,Jakarta,ID,Male,IDR,17000000,Gross,Monthly,1M Monthly Incentive,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,16000000,Net,Monthly,,
Backend Engineer,Traveloka,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,22000000,Net,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Fintech,2,Jakarta,ID,Prefer not to tell,IDR,12000000,Net,Monthly,,
Software Engineer,Gojek,Other / Unknown,2,Surabaya,ID,Male,IDR,7500000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,9,Semarang,ID,Prefer not to tell,IDR,50000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,14000000,Gross,Monthly,"Insurance, bonus 1x/year",
Data Analyst,Shopee,Other / Unknown,5,Jakarta,ID,Male,IDR,25000000,Net,Monthly,"BPKS Kes, BPJS TK, Insurance",
Data Analyst,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,5500000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,25000000,Net,Monthly,1500 RSU,
Fullstack Developer ,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,5900000,Gross,Monthly,,Verified
Fullstack Developer ,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,13900000,Gross,Monthly,,Verified
Fullstack Developer ,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Female,IDR,6500000,Gross,Monthly,,
Fullstack Developer ,Shopee,Other / Unknown,6,Jakarta,ID,Female,IDR,24000000,Gross,Monthly,,
Fullstack Developer ,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,23000000,Net,Monthly,#NAME?,
Quality Assurance,Gojek,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,9500000,Gross,Monthly,"Insurance, Bonus (depends on performance)",
Quality Assurance,Traveloka,Other / Unknown,3,Jakarta,ID,Female,IDR,11000000,Net,Monthly,,
Android Developer,Gojek,Other / Unknown,6,Jakarta,ID,Prefer not to tell,IDR,49000000,Gross,Monthly,,
Tester,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,10885000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,12000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,6000000,Net,Monthly,"Insurance, Parking Card, Off Site Events, Sick/Leave Days, WFH",
Data Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,12000000,Net,Monthly,Insurance,
Data Engineer,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Male,IDR,24000000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,7000000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,12700000,Net,Monthly,,Verified
Software Engineer,Traveloka,Other / Unknown,6,Jakarta,ID,Prefer not to tell,IDR,70000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Yogyakarta,ID,Prefer not to tell,IDR,4500000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,9,Depok,ID,Male,IDR,13570000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,0,Bekasi,ID,Male,IDR,6397053,Gross,Monthly,Insurance,Verified
Backend Engineer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Male,IDR,8500000,Gross,Monthly,,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,10,Bandung,ID,Male,IDR,55000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,3,Surabaya,ID,Male,IDR,8000000,Gross,Monthly,"BPJS, ISSURANCE, REIMBURSEMENT",
Frontend Engineer,Purchase to unlock 👆,E-Commerce,5,Jakarta,ID,Prefer not to tell,IDR,25000000,Gross,Monthly,,
UX Writer,Purchase to unlock 👆,Other / Unknown,6,Jakarta,ID,Prefer not to tell,IDR,13000000,Net,Monthly,,
UX Writer,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Male,IDR,7500000,Gross,Monthly,"Private Health Insurance, Extra Allowance Per-Semester",
UX Writer,Purchase to unlock 👆,Fintech,2,Jakarta,ID,Male,IDR,9000000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Female,IDR,52000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,8,Jakarta,ID,Male,IDR,20000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,40000000,Gross,Monthly,"Bonus, insurance, wfh",
Project Manager,Purchase to unlock 👆,E-Commerce,2,Jakarta,ID,Prefer not to tell,IDR,12000000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,9200000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,1,Surabaya,ID,Male,IDR,6400000,Net,Monthly,BPJS,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,9264871,Gross,Monthly,BPJS,Verified
Android Developer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,14000000,Net,Monthly,"Unlimited Health Insurance, Spectacles, Stock Options.",
Android Developer,Purchase to unlock 👆,Fintech,3,Jakarta,ID,Male,IDR,12500000,Gross,Monthly,"2X THR (Idul Fitri and Natal), Performance Bonus (2-5x), Asuransi",
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,2,Yogyakarta,ID,Male,IDR,8000000,Net,Monthly,,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,2,Yogyakarta,ID,Male,IDR,20000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Edtech,1,Depok,ID,Male,IDR,7300000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Bank,2,Tangerang,ID,Prefer not to tell,IDR,12000000,Gross,Monthly,"BPJS, Asuransi",
Android Developer,Purchase to unlock 👆,Other / Unknown,6,Jakarta,ID,Male,IDR,15500000,Net,Monthly,"Private Medical insurance for 1 family include my wife and up to 3 child, melahirkan reimbursement, kacamata reimbursement",
Software Engineer,Tiket.com,Other / Unknown,8,Jakarta,ID,Male,IDR,50000000,Net,Monthly,Stock Option,
Android Developer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,11000000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,9000000,Net,Monthly,,
Android Developer,Traveloka,Other / Unknown,3,Surabaya,ID,Male,IDR,20000000,Net,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,4700000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Female,IDR,5000000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Bank,0,Jakarta,ID,Male,IDR,8000000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,5500000,Net,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,5500000,Net,Monthly,,
UX Writer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,15000000,Gross,Monthly,,
Software Engineer,Tokopedia,Other / Unknown,2,Jakarta,ID,Male,IDR,10450000,Gross,Monthly,OVO Allowance 500k (incl in gross) Health insurance,
Software Engineer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,8000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,9,Tangerang,ID,Prefer not to tell,IDR,13000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,1,Bogor,ID,Female,IDR,4400000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,News,1,Jakarta,ID,Female,IDR,8000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,3,Bekasi,ID,Female,IDR,6000000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Wallet Startup,5,Jakarta,ID,Male,IDR,18000000,Net,Monthly,"Communication allowance, Lunch allowance",
Project Manager,Purchase to unlock 👆,Other / Unknown,6,Jakarta,ID,Male,IDR,20000000,Net,Monthly,Commission,
Project Manager,Purchase to unlock 👆,Other / Unknown,6,Jakarta,ID,Male,IDR,24500000,Net,Monthly,Commission,
Project Manager,Traveloka,Other / Unknown,5,Jakarta,ID,Female,IDR,26000000,Net,Monthly,"Traveloka Points, Lunch, Insurance",
Project Manager,Gojek,Other / Unknown,4,Jakarta,ID,Male,IDR,40000000,Gross,Monthly,"Bonus around 1x salary, Insurance, flexible paid leave and WFH",
UI Designer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,3200000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,10000000,Net,Monthly,,
Quality Assurance,Purchase to unlock 👆,Coffee Startup,2,Tangerang,ID,Prefer not to tell,IDR,5000000,Net,Monthly,,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Female,IDR,12000000,Gross,Monthly,"Insurance, Lunch, WFH option",
Quality Assurance,Purchase to unlock 👆,Other / Unknown,1,Banten,ID,Prefer not to tell,IDR,16500000,Gross,Monthly,,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,1,Banten,ID,Prefer not to tell,IDR,16500000,Gross,Monthly,,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,1500000,Gross,Monthly,,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,6000000,Net,Monthly,,
Data Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,15000000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Male,IDR,10000000,Gross,Monthly,,
Data Engineer,Gojek,Other / Unknown,3,Jakarta,ID,Male,IDR,61000000,Gross,Monthly,RSU worth 55000 USD 4 years vested,
Project Manager,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,11500000,Net,Monthly,,
Data Engineer,Purchase to unlock 👆,Other / Unknown,7,Yogyakarta,ID,Female,IDR,17500000,Net,Monthly,"Stock Options, Heath Insurance.",
Backend Engineer,Purchase to unlock 👆,Other / Unknown,1,Yogyakarta,ID,Male,IDR,6000000,Gross,Monthly,"Lunch, afternoon meal",
Project Manager,Purchase to unlock 👆,Other / Unknown,13,Tangerang,ID,Male,IDR,23500000,Net,Monthly,,
UI Designer,Bukalapak,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,14000000,Gross,Monthly,"Insurance, Lunch",
Backend Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,22000000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,2,Bandung,ID,Prefer not to tell,IDR,18000000,Gross,Monthly,"WFH, products, health insurance, lunch",
Software Engineer,Bukalapak,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,26000000,Net,Monthly,,
Software Engineer,Bukalapak,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,26000000,Net,Monthly,,
Android Developer,Bukalapak,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,22000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,3,Bandung,ID,Prefer not to tell,IDR,10000000,Gross,Monthly,,
Software Engineer,Gojek,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,21000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,0,Surabaya,ID,Male,IDR,3770000,Net,Monthly,,Verified
UX Writer,Purchase to unlock 👆,Other / Unknown,17,Jakarta,ID,Prefer not to tell,IDR,28500000,Net,Monthly,Insurance,
Data Analyst,Purchase to unlock 👆,Other / Unknown,0,Surabaya,ID,Prefer not to tell,IDR,4400000,Net,Monthly,,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,2,Yogyakarta,ID,Male,IDR,20000000,Gross,Monthly,,
Software Engineer,Traveloka,Other / Unknown,2,Jakarta,ID,Female,IDR,11000000,Net,Monthly,,
Software Engineer,tiket.com,Other / Unknown,4,Bandung,ID,Prefer not to tell,IDR,21500000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,1,Semarang,ID,Prefer not to tell,IDR,2500000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Fintech,13,Banten,ID,Male,IDR,27200000,Gross,Monthly,,
Backend Engineer,Traveloka,Other / Unknown,0,Jakarta,ID,Male,IDR,11000000,Net,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Prefer not to tell,IDR,27000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Fintech,0,Jakarta,ID,Male,IDR,16000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,5000000,Gross,Monthly,"BPJS TK, free drink & meal, medical insurance, flexible working / WFH, 16 days vacation/yr (accumulation), 10 days sick leave, THR",
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,42000000,Net,Monthly,"Insurance, transport, kuota",
Project Manager,Purchase to unlock 👆,Bank,5,Jakarta,ID,Prefer not to tell,IDR,27700000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Bank,5,Jakarta,ID,Prefer not to tell,IDR,27700000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Female,IDR,17000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,7,Jakarta,ID,Male,IDR,20000000,Gross,Monthly,,
Quality Assurance,Purchase to unlock 👆,Fintech,2,Jakarta,ID,Prefer not to tell,IDR,9000000,Net,Monthly,,
Quality Assurance,Purchase to unlock 👆,Fintech,2,Jakarta,ID,Prefer not to tell,IDR,9000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Bandung,ID,Female,IDR,11500000,Gross,Monthly,"Stock, Performance Bonus",
Software Engineer,Tiket.com,Other / Unknown,5,Jakarta,ID,Prefer not to tell,IDR,20000000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Bogor,ID,Female,IDR,14000000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Bogor,ID,Female,IDR,14000000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,9300000,Net,Monthly,Health Insurance,
UX Writer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Female,IDR,12000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,7,Jakarta,ID,Prefer not to tell,IDR,16000000,Net,Monthly,"Life & Insurance, DPLK",
UX Writer,Purchase to unlock 👆,Other / Unknown,7,Jakarta,ID,Prefer not to tell,IDR,18000000,Gross,Monthly,"private insurance, extra paid leave",
Project Manager,Tiket.com,Other / Unknown,5,Jakarta,ID,Male,IDR,29000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,8,Tangerang,ID,Male,IDR,75000000,Net,Monthly,Insurance,
Data Analyst,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Female,IDR,11000000,Gross,Monthly,Bonus (based on performance),
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Bandung,ID,Male,IDR,8900000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,7400000,Gross,Monthly,"Insurance, Bonus Performance, 2 THR",
Frontend Engineer,Traveloka,Other / Unknown,3,Tangerang,ID,Prefer not to tell,IDR,15700000,Net,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,17340000,Net,Monthly,,Verified
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Depok,ID,Male,IDR,14400000,Net,Monthly,ESOP,
Software Engineer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,6000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,SaaS,2,Jakarta,ID,Male,IDR,11800000,Gross,Monthly,,
UI Designer,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,9000000,Net,Monthly,"BPJS-K, BPJS-TK, Private Insurance, Medical Allowance",
UX Writer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,18800000,Gross,Monthly,,Verified
UX Writer,Purchase to unlock 👆,Bank,2,Jakarta,ID,Prefer not to tell,IDR,12000000,Net,Monthly,,Verified
UX Writer,Purchase to unlock 👆,Advertisement,2,Jakarta,ID,Prefer not to tell,IDR,18500000,Gross,Monthly,insurance,Verified
Data Analyst,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,5000000,Gross,Monthly,,
Data Analyst,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,23000000,Net,Monthly,,
Data Analyst,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,34000000,Gross,Monthly,,
UX Writer,Purchase to unlock 👆,Fintech,2,Jakarta,ID,Prefer not to tell,IDR,8000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,P2P Lending,3,Jakarta,ID,Male,IDR,8000000,Net,Monthly,,
Quality Assurance,Traveloka,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,15000000,Net,Monthly,,
Quality Assurance,Traveloka,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,15000000,Net,Monthly,,
Quality Assurance,Traveloka,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,15000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,16500000,Net,Monthly,BPJS,
Project Manager,Purchase to unlock 👆,Other / Unknown,1,Banten,ID,Male,IDR,2200000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Fintech,10,Depok,ID,Prefer not to tell,IDR,70000000,Gross,Monthly,"Insurance, Bonus",
Project Manager,Purchase to unlock 👆,Fintech,10,Depok,ID,Prefer not to tell,IDR,70000000,Gross,Monthly,"Insurance, Bonus",
Software Engineer,Gojek,Other / Unknown,4,Jakarta,ID,Male,IDR,15200000,Net,Monthly,"private insurance, daily allowance",
Data Analyst,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,6600000,Gross,Monthly,700000,
UI Designer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,7000000,Gross,Monthly,"Health Insurance, 100K voucher, Laptop allowance",Verified
UI Designer,Traveloka,Other / Unknown,3,Jakarta,ID,Female,IDR,13000000,Net,Monthly,Traveloka points,
Project Manager,Purchase to unlock 👆,Other / Unknown,4,Bandung,ID,Prefer not to tell,IDR,11000000,Gross,Monthly,insurances,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,0,Bandung,ID,Prefer not to tell,IDR,3650000,Net,Monthly,"BPJS, WFH/WFO, Transport fee",
Backend Engineer,Tiket.com,Other / Unknown,3,Jakarta,ID,Male,IDR,14500000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,22000000,Gross,Monthly,"Private Insurance, Remote Working and Annual Bonus",
Project Manager,Purchase to unlock 👆,Crowdsourcing,1,Banten,ID,Male,IDR,5500000,Net,Monthly,,
Data Analyst,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Female,IDR,15000000,Gross,Monthly,,
Software Engineer,Tokopedia,Other / Unknown,5,Jakarta,ID,Male,IDR,16000000,Net,Monthly,,
IT Support,Purchase to unlock 👆,Other / Unknown,10,Jakarta,ID,Male,IDR,15000000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,6,Jakarta,ID,Male,IDR,31000000,Net,Monthly,,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,0,Bogor,ID,Male,IDR,7000000,Gross,Monthly,None,
IT Support,Purchase to unlock 👆,Other / Unknown,10,Bandung,ID,Prefer not to tell,IDR,12500000,Net,Monthly,,
IT Support,Purchase to unlock 👆,Other / Unknown,10,Bandung,ID,Prefer not to tell,IDR,12500000,Net,Monthly,,
IT Support,Purchase to unlock 👆,Other / Unknown,10,Bandung,ID,Prefer not to tell,IDR,12500000,Gross,Monthly,RSU,
IT Support,Purchase to unlock 👆,Other / Unknown,10,Bandung,ID,Prefer not to tell,IDR,12500000,Gross,Monthly,RSU,Verified
Data Analyst,Purchase to unlock 👆,Other / Unknown,3,Depok,ID,Male,IDR,14500000,Gross,Monthly,,Verified
Project Manager,Bukalapak,Other / Unknown,5,Jakarta,ID,Male,IDR,18000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Male,IDR,6500000,Gross,Monthly,,
Software Engineer,Tiket.com,Other / Unknown,7,Jakarta,ID,Prefer not to tell,IDR,41000000,Net,Monthly,Stock Options,
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Female,IDR,6500000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,5750000,Gross,Monthly,"BPJS, Parking",
UX Writer,Purchase to unlock 👆,University,4,Bandung,ID,Male,IDR,15000000,Net,Monthly,Health insurance,
UX Writer,Purchase to unlock 👆,Other / Unknown,15,Jakarta,ID,Male,USD,60000000,Net,Monthly,Stock Options,Verified
Data Analyst,Gojek,Other / Unknown,2,Tangerang,ID,Male,IDR,13000000,Gross,Monthly,,
Data Analyst,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Prefer not to tell,IDR,7000000,Gross,Monthly,,
Data Analyst,Purchase to unlock 👆,Edtech,2,Jakarta,ID,Male,IDR,7500000,Gross,Monthly,,
UX Writer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Female,IDR,13000000,Net,Monthly,,
Software Engineer,Gojek,Other / Unknown,3,Surabaya,ID,Male,IDR,21000000,Gross,Monthly,"Gopay, Insurance",
Android Developer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,22500000,Net,Monthly,,
Software Engineer,Gojek,Other / Unknown,2,Jakarta,ID,Female,IDR,8240000,Gross,Monthly,"BPJS, Insurance",Verified
Android Developer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,42000000,Net,Monthly,Insurance,
Software Engineer,Purchase to unlock 👆,Video Streaming Startup,3,Jakarta,ID,Male,IDR,18000000,Gross,Monthly,,
Data Engineer,Tokopedia,Other / Unknown,20,Jakarta,ID,Prefer not to tell,IDR,10000000,Net,Monthly,,
Data Engineer,Tokopedia,Other / Unknown,20,Jakarta,ID,Prefer not to tell,IDR,10000000,Net,Monthly,,
IT Support,Purchase to unlock 👆,Other / Unknown,6,Semarang,ID,Male,IDR,6505000,Net,Monthly,,
